Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	tree_length
0	-8111.652	-8369.935	258.2828	0.805134	1.610402	0.520874	7.607619
6	-8118.712	-8378.495	259.7833	0.9983669	1.488085	0.4662975	6.793515
12	-8121.699	-8379.224	257.5249	0.8079093	1.967412	0.5039727	7.903436
18	-8128.945	-8386.938	257.9935	0.8209043	2.023524	0.4967129	7.634896
24	-8116.322	-8374.929	258.6076	0.7981151	1.556569	0.5339571	7.446581
30	-8133.592	-8391.088	257.4962	0.8487772	2.003732	0.5549719	7.842236
36	-8124.724	-8383.856	259.1316	0.8611975	1.698685	0.5215717	7.08933
42	-8132.916	-8390.529	257.6134	0.8071513	1.44892	0.572609	7.983695
48	-8128.905	-8387.289	258.3834	0.8071513	1.43955	0.6961894	7.483377
54	-8134.035	-8391.519	257.484	0.8200328	1.716026	0.6966731	7.852661
60	-8129.35	-8387.159	257.809	0.8018633	1.724697	0.6154942	7.744839
66	-8115.41	-8373.805	258.3948	0.8276419	1.593584	0.5824984	7.490909
72	-8123.198	-8382.187	258.9886	0.9152221	1.593584	0.6374034	7.082787
78	-8111.141	-8369.994	258.853	0.8644192	1.818798	0.6914491	7.063156
84	-8118.886	-8377.915	259.0285	0.8532435	1.818798	0.5705161	7.066172
90	-8115.838	-8374.367	258.5293	0.9359238	1.902829	0.5705161	7.262023
96	-8116.144	-8374.836	258.6914	0.8961918	2.074636	0.4810024	7.218727
102	-8118.494	-8376.386	257.8926	0.8432119	2.074636	0.506747	7.65234
108	-8118.206	-8377.391	259.1842	0.8063887	1.495173	0.506747	7.180031
114	-8123.046	-8380.721	257.6752	0.7795537	1.674551	0.6180807	7.844114
120	-8113.221	-8371.739	258.5178	0.9076312	1.79738	0.5533019	7.332763
126	-8111.363	-8370.169	258.8067	0.8585297	1.540525	0.6174857	7.246334
132	-8115.217	-8373.915	258.6983	0.7977117	1.790224	0.6174857	7.246334
138	-8106.848	-8365.705	258.8568	0.8351871	1.544929	0.6174857	7.23028
144	-8113.084	-8372.389	259.3052	0.8731692	1.656347	0.5729468	6.961804
150	-8120.995	-8380.275	259.2808	0.8975522	1.656347	0.5729468	6.961804
156	-8116.463	-8376.128	259.6656	0.938629	1.625462	0.5176465	6.790009
162	-8121.618	-8377.838	256.2208	0.7827306	1.545173	0.5176465	8.745142
168	-8109.398	-8367.629	258.2313	0.7595359	1.638225	0.6328381	7.559533
174	-8111.181	-8368.502	257.3213	0.7818759	1.638225	0.5845466	8.070885
180	-8125.747	-8384.767	259.0192	0.8076053	1.641636	0.5845466	7.147122
186	-8119.36	-8376.339	256.9791	0.7949575	1.641636	0.4977614	8.317265
192	-8120.679	-8379.493	258.8143	0.8891918	1.422887	0.5498643	7.326491
198	-8117.489	-8375.096	257.6066	0.8377861	1.377836	0.5498643	8.018586
204	-8115.451	-8375.895	260.4439	0.8656564	1.501483	0.5921414	6.394126
210	-8106.206	-8363.551	257.3456	0.7841123	1.501483	0.4917541	8.186126
216	-8114.823	-8372.742	257.9194	0.8621291	1.501483	0.4917541	7.838508
222	-8111.532	-8370.602	259.0702	0.8168172	1.639155	0.4917541	7.194099
228	-8112.646	-8370.484	257.8379	0.762045	1.639155	0.6344903	7.767063
234	-8109.636	-8368.186	258.5503	0.8136094	1.639155	0.6344903	7.35805
240	-8122.99	-8383.122	260.1326	0.848679	1.600054	0.6344903	6.500929
246	-8126.466	-8385.646	259.1796	0.8182802	1.625493	0.594767	7.052969
252	-8108.921	-8365.703	256.7823	0.770906	1.754529	0.5468258	8.352808
258	-8107.017	-8366.191	259.1737	0.8568943	1.570779	0.5244054	7.113794
264	-8113.443	-8372.294	258.8512	0.8557445	1.406198	0.5331808	7.345527
270	-8115.937	-8372.945	257.008	0.6826785	1.406198	0.5331808	8.422023
276	-8120.985	-8378.736	257.7504	0.827105	1.406198	0.5331808	7.949738
282	-8123.959	-8381.892	257.9327	0.8235957	1.406198	0.5430993	7.845982
288	-8122.955	-8379.253	256.298	0.7833925	1.703642	0.5615752	8.609182
294	-8127.273	-8384.548	257.2748	0.7355539	1.594825	0.5643558	8.152497
300	-8118.3	-8376.999	258.6991	0.8709134	1.594825	0.6139866	7.279443
306	-8111.914	-8371.818	259.9035	0.9084581	2.07569	0.6139866	6.446232
312	-8117.241	-8375.531	258.2899	0.8807249	1.821179	0.4727803	7.531419
318	-8137.721	-8395.912	258.191	0.9796598	1.821179	0.4727803	7.531419
324	-8112.911	-8370.548	257.6372	0.7953	1.821179	0.5117325	7.891251
330	-8119.176	-8377.778	258.6017	0.8445245	1.790674	0.5293289	7.34401
336	-8108.632	-8366.65	258.0182	0.8141077	1.790674	0.5792467	7.631781
342	-8109.759	-8368.508	258.749	0.8446772	1.694136	0.5792467	7.257529
348	-8108.976	-8367.76	258.7836	0.8780122	1.694136	0.5994492	7.205058
354	-8123.118	-8382.646	259.5288	0.8994126	1.567585	0.5994492	6.83925
360	-8139.841	-8397.722	257.8813	0.8931768	1.61873	0.5176895	7.774887
366	-8127.399	-8386.548	259.1491	0.9017291	1.61873	0.5176895	7.09068
372	-8118.691	-8377.211	258.5198	0.8873863	1.487743	0.5176895	7.4865
378	-8114.696	-8374.326	259.6301	0.8807011	1.680377	0.5176895	6.820216
384	-8117.785	-8376.903	259.1187	0.8807011	1.736373	0.6180653	6.993891
390	-8119.391	-8379.384	259.9931	0.954937	1.699606	0.6151588	6.496955
396	-8132.423	-8391.217	258.7944	0.9016423	1.699606	0.6354553	7.156998
402	-8106.601	-8365.397	258.7961	0.8268125	1.798922	0.6415458	7.156998
408	-8107.017	-8365.314	258.2971	0.8995242	1.495338	0.6586208	7.484626
414	-8122.834	-8381.628	258.7941	0.8506859	1.668069	0.5598242	7.255206
420	-8122.097	-8380.091	257.9941	0.8336359	1.562125	0.5598242	7.732324
426	-8123.158	-8380.757	257.5999	0.7785145	1.562125	0.6389758	7.910777
